,Name,Grade,Crag,Date
141,"Lurcher's Nose, Sit-start",f6B,Bell Hagg,2020-03-20
142,Punishment Sans Undercut,f6B,Bell Hagg,2020-03-18
143,Love You Rock,f4,Bell Hagg,2020-03-18
144,Lurcher's Nose,f5,Bell Hagg,2020-03-16
145,Low,f6A+,Bell Hagg,2020-03-16
146,Entering,f4,Bell Hagg,2020-03-16
147,Punishment,f6A,Bell Hagg,2020-03-16
148,Crime,f3+,Bell Hagg,2020-03-16
149,Getaway,f5+,Bell Hagg,2020-03-16
150,Sitdown Bulge,f6B,Secret Garden,2020-02-07
151,Pack,f6C,Burbage South Valley Boulders,2020-02-07
152,Rock Bottom,f6B,Burbage South Edge,2020-02-07
153,Alaska Right Sit-start,f6B,Burbage South Valley Boulders,2020-02-07
154,The Basin,f4+,Burbage South Valley Boulders,2020-01-10
155,Left Hand Line (Javu P29),f4+,Hound Tor,2019-11-24
156,The Cube Crack (Javu P13),f3,Bonehill Rocks,2019-11-24
157,The Green Traverse,f7A,Stanage Plantation,2019-10-30
158,Pock Sit-start,f6C,Burbage South Valley Boulders,2019-10-14
159,Bull Flakes,f6B,Stanage Plantation,2019-10-02
160,Useful Arête,f5,Burbage South Valley Boulders,2019-09-18
161,Open Flakeline,f5+,Burbage South Valley Boulders,2019-09-18
162,Puck,f6A,Burbage South Valley Boulders,2019-09-18
163,Alaska Right,f5+,Burbage South Valley Boulders,2019-09-16
164,Alaska,f6A,Burbage South Valley Boulders,2019-09-16
165,Vague Rib,f5+,Burbage South Valley Boulders,2019-09-16
166,Little Air,f5+,Burbage South Valley Boulders,2019-09-16
167,Huggy Sit-start,f6A,Burbage South Valley Boulders,2019-09-16
168,Huggy,f5,Burbage South Valley Boulders,2019-09-16
169,Pock,f5+,Burbage South Valley Boulders,2019-09-16
170,Central Groove Thing,f5+,Burbage South Edge,2019-09-16
171,Wall Past Slot,f4+,Burbage South Valley Boulders,2019-09-08
172,Sloping Mantel,f5,Burbage South Valley Boulders,2019-09-08
173,Mantel Past Slot,f5,Burbage South Valley Boulders,2019-09-08
174,Cobra Mantel,f5+,Burbage South Valley Boulders,2019-09-08
175,The Celtic Cross,f5+,Burbage South Quarries,2019-09-08
176,Thin Flake,f4,Curbar Edge,2019-08-30
177,Seams Simple Enough,f5+,Curbar Edge,2019-08-30
178,Dressed Arête,f6A,Curbar Edge,2019-08-30
179,Pebble Ledges Left,f4,Stanage Plantation,2019-08-23
180,Black Bulge,f4,Stanage Plantation,2019-08-23
181,Black Wall,f3,Stanage Plantation,2019-08-23
182,Black Arête,f4+,Stanage Plantation,2019-08-23
183,Crozzle Slab,f5,Stanage Plantation,2019-08-23
184,Tonto,f4+,Stanage Plantation,2019-08-23
185,Golden Arête,f6B+,Over Owler Tor,2019-08-19
186,Right Tower,f4+,Over Owler Tor,2019-08-19
187,Roof 2,f5+,Over Owler Tor,2019-08-19
188,Rock and Mantel,f6A+,Burbage South Valley Boulders,2019-08-17
189,Side pull Wall,f5+,Burbage South Valley Boulders,2019-08-17
190,Big Flakes,f2+,Burbage South Valley Boulders,2019-08-17
191,Pick,f3+,Burbage South Valley Boulders,2019-08-17
192,Pocket Passer,f6B,Burbage North,2019-08-13
193,Crozzle Arête Right-hand,f6A,Stanage Plantation,2019-05-22
194,Crozzle Wall,f6A+,Stanage Plantation,2019-05-22
195,Big Business,f5,Stanage Plantation,2019-05-22
196,Steep Side,f4+,Stanage Plantation,2019-05-22
197,Buckstone Wall,f2+,Stanage North,2019-05-22
198,Buxom,f3,Stanage North,2019-05-22
199,Pass the Buck,f4+,Stanage North,2019-05-22
200,Buckstone Groove,f5,Stanage North,2019-05-22
201,Buckrib,f5,Stanage North,2019-05-22
202,Chicken Head Rockover,f5,Dovestone Tor,2019-04-13
203,Stone Dove Crack,f4+,Dovestone Tor,2019-04-13
204,Nose Horn,f5+,The Wheelstones (AKA Coach...,2019-04-13
205,Arête and Seam,f4+,The Hurkling Stones (Rock...,2019-04-13
206,Baby Bulge,f4,The Hurkling Stones (Rock...,2019-04-13
207,The Shearing,f5+,Burbage South Valley Boulders,2019-04-10
208,Tiny Roof,f6A+,Burbage North,2019-04-10
209,Tiny Slab Left,f5,Burbage North,2019-04-10
210,Tiny Left Arete,f4+,Burbage North,2019-04-10
211,Banana Finger,f6A,Burbage North,2019-04-10
212,Route 2,S4a,Burbage North,2019-04-10
213,Route 1.5,VS5b,Burbage North,2019-04-10
214,Li'l Crack,f2+,Roaches Skyline,2018-10-06
215,Pancake,f4,Roaches Skyline,2018-10-06
216,Little Flake,f5+,Roaches Skyline,2018-10-06
217,Groovy Crack,f5,Roaches Skyline,2018-10-06
218,Harder Mantel,f6A+,Roaches Skyline,2018-10-06
219,Mantel,f4+,Roaches Skyline,2018-10-06
220,Easy Ramp,f3,Roaches Skyline,2018-10-06
221,Left Crack,f3+,Roaches Skyline,2018-10-06
222,Slab Walk,f3,Roaches Skyline,2018-10-06
223,Blister Slab,f4+,Roaches Lower Tier,2018-10-06
224,Blister's Sister,f4+,Roaches Lower Tier,2018-10-06
225,Squeezy Slab,f5,Roaches Lower Tier,2018-10-06
226,Pine Crack,f3,Roaches Lower Tier,2018-10-06
227,Pine Slab,f5+,Roaches Lower Tier,2018-10-06
228,Boss Slab,f4+,Roaches Lower Tier,2018-10-06
229,Tiger,f6B,Burbage South Valley Boulders,2018-10-01
230,Wall Past Flake,f4+,Burbage South Valley Boulders,2018-10-01
231,Chieftain,f5+,Burbage South Valley Boulders,2018-10-01
232,Cube Arête,f5,Stanage Popular,2018-09-01
233,Slotted Wall,f5,Stanage Popular,2018-09-01
234,Slotted Arête,f4,Stanage Popular,2018-09-01
235,Tweedle Dum,f3,Stanage Popular,2018-09-01
236,Steps,f3,Stanage Popular,2018-09-01
237,Staircase Flake,f5+,Stanage Popular,2018-09-01
238,Crescent Groovelet,f5+,Stanage Plantation,2018-09-01
239,The Lone Arête,f5+,Stanage Plantation,2018-09-01
240,The Cube Root,f5,Stanage Popular,2018-08-10
241,Cubing,f6A,Stanage Popular,2018-08-01
242,Matterhorn Left,f5,Burbage South Edge,2018-06-10
243,Get the Horn,f5+,Stanage Popular,2018-06-10
244,The High Road,f3+,Stanage Popular,2018-06-10
245,Slots,f5,Stanage Popular,2018-06-08
246,Upper Cube Traverse,f4+,Stanage Popular,2018-05-01
247,The Short Arête,f5+,Curbar Edge,2018-05-01
248,Crescent Slab,f5+,Curbar Edge,2018-05-01
249,Track Crack,f4+,Curbar Edge,2018-05-01
250,Trackside Scoop,f4+,Curbar Edge,2018-05-01
251,Three Pocket Wall,f5+,Curbar Edge,2018-05-01
252,Side-wall Slot,f6A,Curbar Edge,2018-05-01
253,Side-wall Flake,f5,Curbar Edge,2018-05-01
254,Side-wall Arête,f4,Curbar Edge,2018-05-01
255,Naughty,f5,Froggatt Edge,2018-05-01
256,Mini Mantel,f4,Froggatt Edge,2018-05-01
257,Air Bear,f5,Froggatt Edge,2018-05-01
258,Flatulence,f4+,Froggatt Edge,2018-03-05
259,Bear Poo,f3+,Froggatt Edge,2018-03-05
260,Pooh Bear,f4,Froggatt Edge,2018-03-05
261,Teddy,f4,Froggatt Edge,2018-03-05
262,Hairpin Arête,f5,Froggatt Edge,2018-03-05
263,Hairpin Scoop,f4+,Froggatt Edge,2018-03-05
264,The Eye Socket,f5+,Over Owler Tor,2018-03-05
265,Friend Slot Wall,f4+,Over Owler Tor,2018-03-05
266,Flake Arête,f2+,Over Owler Tor,2018-03-05
267,Lil' Arête,f3+,Over Owler Tor,2018-03-05
